"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ctl1","ctl2","ctl3","ctl4","uvb1","uvb2","uvb3","uvb4","uvb5"
"1","ANXA3",371.126206933292,3.5070255577355,0.278164364733639,12.6077456438164,1.91389503739555e-36,1.12728417702598e-33,29.4752376950504,38.7751713317402,53.9425657176497,71.1219003996749,413.266714826104,838.790403122472,670.688075077074,532.47732458038,691.598469649479
"2","MT2P1",220.90273205405,3.81939834759991,0.354197169181394,10.7832548645918,4.13007858257623e-27,1.2163081425687e-24,21.2876716686475,8.94811646117082,26.1012414762821,29.0414426632006,478.02741165669,400.389376717071,157.371924967732,476.774909420376,390.182493455277
"3","SFRP2",1593.08504962836,-2.99029373154454,0.325778741759827,-9.178909941733,4.35477193961772e-20,8.54986890811613e-18,2068.17917826937,5370.36122944602,2965.10103170565,2199.44476985995,417.272531124904,348.017770479817,181.686900499227,542.862520627161,244.839514643186
"4","IL8",63.1554694137903,4.7183793665252,0.540411683394563,8.73108319362562,2.52245043846749e-18,3.71430827064339e-16,0,0,0,4.14877752331437,72.1046933783833,47.3033862788101,89.1549102821488,186.933528842048,168.753928419407
"5","PTPN13",369.325235629322,-1.68179403755933,0.202751097904008,-8.29487018785749,1.08703846056342e-16,1.28053130654371e-14,543.654384153151,590.575686437274,595.108305659232,681.584878830218,221.655168533549,219.622864865904,203.300212082779,141.616309728825,126.809310372965
"6","CXCL1",81.5272596218426,4.08557859474141,0.516245582585803,7.91402141259458,2.49205410754486e-15,2.44636644890654e-13,13.1001056422446,2.98270548705694,0,1.77804750999187,98.1424993205773,54.0610128900687,111.443637852686,275.679749605445,176.557578288513
"7","TMPRSS11D",43.8780518843623,3.67007033113913,0.528084180015892,6.94978276196172,3.65849135683064e-12,2.99855690989663e-10,6.5500528211223,4.47405823058541,0,1.77804750999187,24.0348977927944,105.587915800915,133.056949436237,46.2613278447494,73.1592175228645
"8","CXCL3",32.028968112917,3.79969346435547,0.547929923961713,6.93463397085971,4.07274283177811e-12,2.99855690989663e-10,3.27502641056115,0,0,2.96341251665312,21.3643535935951,35.4775397091076,60.7874388287378,101.963743004754,62.4291989528443
"9","CXCL5",58.4838119330412,3.69280611911881,0.545466195378328,6.76999995674806,1.28782434227669e-11,8.428094862233e-10,0,11.9308219482278,0,2.96341251665312,58.7519723823864,45.6139796259955,64.8399347506537,209.59213839866,132.662047774794
"10","CXCL2",31.0469476260219,3.4319899504931,0.530287958697432,6.47193641530772,9.67548396055483e-11,5.18078186615163e-09,6.5500528211223,0,0,3.55609501998374,62.7577886811855,20.2728798337758,41.8757911931305,86.8580033003457,57.5519177846534
"11","DKK2",54.1195007154931,-2.10882205020196,0.325658828104607,-6.47555622083296,9.44633056893760e-11,5.18078186615163e-09,111.350897959079,111.851455764635,88.7442210193592,73.4926304129974,17.358537294796,30.4093197506636,12.8329037527335,27.3791532142394,13.6563872709347
"12","PRSS12",72.352870725579,-2.21038838430637,0.363771710372768,-6.07630643416806,1.22982294191371e-09,5.79122000119464e-08,158.838780912216,141.678510635205,132.246290146496,94.8292005328998,46.0668874361894,23.6516931394051,24.3149755314951,20.7703920935609,8.77910610274373
"13","FBXW7",308.461343310024,-1.37977588459868,0.227306435095476,-6.07011360685468,1.27819796291223e-09,5.79122000119464e-08,432.303486194072,487.67234713381,483.743008693762,489.555747751095,212.308263836351,204.418204990572,193.168972277989,92.5226556894987,180.459403223066
"14","ABCE1",298.576463748043,1.12923972827968,0.195305153639524,5.78192488644681,7.38506833516202e-09,3.10700374957888e-07,155.563754501655,162.557449044603,182.708690333975,206.846193662388,292.424589812332,343.794253847781,459.282871150463,462.613278447494,421.397092931699
